place_id,name,main_category,phone,website,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates,lat,lng,House_number,Street,Ward,District,City,progress,cleaned_street
ChIJt-x8EB0pdTERuCiy3wefUKs,Kho Bia Nhập Tân Cảng,Khu vực phục vụ bia,0982 831 184,,"722 Đ. Điện Biên Phủ, Phường 22, Bình Thạnh, Thành phố Hồ Chí Minh 700000","Phường 22, Bình Thạnh",722 Đ. Điện Biên Phủ,Thành phố Hồ Chí Minh,700000.0,"Bình Thạnh, Thành phố Hồ Chí Minh",VN,"10.796673,106.72264519999999",10.796673,106.72264519999999,,Đường Điện Biên Phủ,Phường 22,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Điện Biên Phủ
ChIJh31is4wndTERR_zM12oQdF8,Bia Hơi Hà Nội - Cây Si Quán,Khu vực phục vụ bia,0989 036 771,,"362 8 Ung Văn Khiêm, Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh","Phường 25, Bình Thạnh",362 8 Ung Văn Khiêm,Thành phố Hồ Chí Minh,,"Bình Thạnh, Thành phố Hồ Chí Minh",VN,"10.8001237,106.7227784",10.8001237,106.7227784,362/8,Đường Ung Văn Khiêm,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Ung Văn Khiêm
ChIJmbXpjP0udTERm_HAPofNqiU,Hợp Tác Xã Tm Quận 5 - Cửa Hàng Bia Đối Chứng 818,Quán bia,028 3923 4645,,"818 Đ. Trần Hưng Đạo, Phường 7, Quận 5, Thành phố Hồ Chí Minh","Phường 7, Quận 5",818 Đ. Trần Hưng Đạo,Thành phố Hồ Chí Minh,,"Quận 5, Thành phố Hồ Chí Minh",VN,"10.754011799999999,106.67563829999999",10.754011799999999,106.67563829999999,,Đường Trần Hưng Đạo,Phường 7,Quận 5,Hồ Chí Minh,True,Đường Trần Hưng Đạo
ChIJJayOUHMvdTERKtOIeCAoPLg,Quán Bia Hơi Hà Nội Chị Tý,Nhà hàng gia đình,0356 109 997,,"80 Bis Đ. Bến Vân Đồn, Phường 9, Quận 4, Thành phố Hồ Chí Minh 72000","Phường 9, Quận 4",80 Bis Đ. Bến Vân Đồn,Thành phố Hồ Chí Minh,72000.0,"Quận 4, Thành phố Hồ Chí Minh",VN,"10.7647326,106.7015651",10.7647326,106.7015651,78B,Đường Bến Vân Đồn,Phường 9,Quận 4,Hồ Chí Minh,True,Đường Bến Vân Đồn
ChIJa_c74coodTERheudJbWdHTQ,Bò Bía Mặn,Nhà hàng,,,"120E Đ. Lê Văn Duyệt, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 71007","Đa Kao, Quận 1",120E Đ. Lê Văn Duyệt,Thành phố Hồ Chí Minh,71007.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.790903,106.6972289",10.790903,106.6972289,120C,Hẻm 81 Nguyễn Văn Giai,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Văn Giai
ChIJc7k_yQAvdTERKu2lVzSkS9o,Mon an giai tri dac biet o sai gon BO BIA NGOT,Quán ăn nhỏ,,,"PMXJ+7P6 Phạm Thế Hiển, Phường 3, Quận 8, Thành phố Hồ Chí Minh","Phường 3, Quận 8","PMXJ+7P6, Phạm Thế Hiển",Thành phố Hồ Chí Minh,,"Quận 8, Thành phố Hồ Chí Minh",VN,"10.748150899999999,106.68176729999999",10.748150899999999,106.68176729999999,1,Hẻm 9 Âu Dương Lân,Phường 3,Quận 8,Hồ Chí Minh,True,Đường Âu Dương Lân
ChIJ8dp4Tw0vdTERTcbSthoaCpM,Sành Bia Quán,Quán ăn nhỏ,0868 141 033,,"1065 Đ. Hoàng Sa, Phường 11, Quận 3, Thành phố Hồ Chí Minh","Phường 11, Quận 3",1065 Đ. Hoàng Sa,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7878501,106.67000209999999",10.7878501,106.67000209999999,1065A,Đường Hoàng Sa,Phường 11,Quận 3,Hồ Chí Minh,True,Đường Hoàng Sa
ChIJ7YsgavUvdTERDBNFeJGctk4,QUÁN BIA CHILL QUẬN 1 | GET GO FOOD&BEER | QUÁN NHẬU QUẬN 1,Nhà hàng,,,"226 Đ. Lê Thánh Tôn, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 70000","Phường Bến Thành, Quận 1",226 Đ. Lê Thánh Tôn,Thành phố Hồ Chí Minh,70000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7725378,106.69650159999999",10.7725378,106.69650159999999,250,Đường Lê Thánh Tôn,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Lê Thánh Tôn
ChIJa_c74coodTERl5gqK1Ml-g0,Bò Bía Lý,Nhà hàng,,,"120E Đ. Đinh Tiên Hoàng, P. Phú Thuận, Quận 1, Thành phố Hồ Chí Minh","P. Phú Thuận, Quận 1",120E Đ. Đinh Tiên Hoàng,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7890421,106.6995647",10.7890421,106.6995647,1,Hẻm 24 Đinh Tiên Hoàng,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Đinh Tiên Hoàng
ChIJ8d6drDwvdTERyHeex1oJDGo,Quán Bia Cô Bảo,Nhà hàng,,,"306 Đ. Nguyễn Thị Minh Khai, Phường 5, Quận 3, Thành phố Hồ Chí Minh","Phường 5, Quận 3",306 Đ. Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.772978799999999,106.6885415",10.772978799999999,106.6885415,306/18,Hẻm 306 Đường Nguyễn Thị Minh Khai,Phường 5,Quận 3,Hồ Chí Minh,True,Đường Nguyễn Thị Minh Khai
ChIJH0FeaywpdTERyeiWXn8KSNM,Quán Bia đêm - 566 Trường Sa,Quán bia sân vườn,,,"566 Đ. Trường Sa, Phường 2, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 2, Phú Nhuận",566 Đ. Trường Sa,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.794074799999999,106.6848359",10.794074799999999,106.6848359,570,Đường Trường Sa,Phường 2,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Trường Sa
ChIJgfXhtbQpdTERB_Ic9MoCg0Y,Bò bía dì Lê,Quán ăn nhỏ,,,"123b Phan Đình Phùng, Phường 17, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 17, Phú Nhuận",123b Phan Đình Phùng,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.7943312,106.68307999999999",10.7943312,106.68307999999999,20,Đường Cao Thắng,Phường 17,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Cao Thắng
ChIJbemgLvQvdTERECS59_-uG-Q,Bia Đức Eibauer - 45 Đinh Tiên Hoàng,Nhà hàng,0909 011 582,,"45 Đ. Đinh Tiên Hoàng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000","Bến Nghé, Quận 1",45 Đ. Đinh Tiên Hoàng,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7858249,106.7017863",10.7858249,106.7017863,45,Đường Đinh Tiên Hoàng,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Đinh Tiên Hoàng
ChIJYb3NQtEodTERvOoWzjEqxHw,Bia Tươi Craft Phú Nhuận,Nhà hàng,0935 520 501,,"72 Cô Giang, Phường 2, Phú Nhuận, Thành phố Hồ Chí Minh 084028","Phường 2, Phú Nhuận",72 Cô Giang,Thành phố Hồ Chí Minh,84028.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.7962095,106.683582",10.7962095,106.683582,54,Đường Cô Giang,Phường 2,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Cô Giang
ChIJP5BfT5cpdTERPelX1fjC4k0,Bia tươi + Bia boom,Nhà hàng,0937 672 008,,"80 Đ. Điện Biên Phủ, Phường 15, Bình Thạnh, Thành phố Hồ Chí Minh","Phường 15, Bình Thạnh",80 Đ. Điện Biên Phủ,Thành phố Hồ Chí Minh,,"Bình Thạnh, Thành phố Hồ Chí Minh",VN,"10.797546599999999,106.702086",10.797546599999999,106.702086,80,Hẻm 27/87 Đường Điện Biên Phủ,Phường 15,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Điện Biên Phủ
ChIJ3TmlqkAvdTERFkOpBAmWg1M,Quán Giải Khát Bia Shop Nhan Hương,Nhà hàng,,,"136 Hàm Nghi, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh","Phường Bến Thành, Quận 1",136 Hàm Nghi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.772777099999999,106.69991979999999",10.772777099999999,106.69991979999999,99,Đường Lê Lợi,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Lê Lợi
ChIJhT8UjDgvdTERTbgWXtdjOfM,Bia Man,Phòng uống bia,,,"1 Nguyễn Thái Học, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh","Phường Cầu Ông Lãnh, Quận 1",1 Nguyễn Thái Học,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.76398,106.69755699999999",10.76398,106.69755699999999,1-3,Đường Nguyễn Thái Học,Phường Cầu Ông Lãnh,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thái Học
ChIJDeta6x4vdTER8Wzh1jcdy9g,Bia Factory,Nhà hàng,,,"1 Đ. Hùng Vương, Phường 4, Quận 7, Thành phố Hồ Chí Minh","Phường 4, Quận 7",1 Đ. Hùng Vương,Thành phố Hồ Chí Minh,,"Quận 7, Thành phố Hồ Chí Minh",VN,"10.7644208,106.68038469999999",10.7644208,106.68038469999999,2,Đường Trần Phú,Phường 4,Quận 5,Hồ Chí Minh,True,Đường Trần Phú
ChIJI0mVRQUvdTERr13qwoAt2Rc,Cuốn Bò Bía Út Ly,Nhà hàng ăn nhanh,0793 634 350,,"TK6/12, TK6/12 Hẻm Bến Chương Dương, Cầu Kho, Quận 1, Thành phố Hồ Chí Minh","Cầu Kho, Quận 1","TK6/12, TK6/12 Hẻm Bến Chương Dương",Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7564377,106.6870727",10.7564377,106.6870727,,Đường Hẻm Bến Chương Dương,Phường Cầu Kho,Quận 1,Hồ Chí Minh,True,Đường Hẻm Bến Chương Dương
ChIJM0i0HXwvdTERz23MaZzQV0I,Tiệm bia Lar,Quán bia,0929 320 545,,"74 Đ. Trần Bình Trọng, Phường 1, Quận 5, Thành phố Hồ Chí Minh","Phường 1, Quận 5",74 Đ. Trần Bình Trọng,Thành phố Hồ Chí Minh,,"Quận 5, Thành phố Hồ Chí Minh",VN,"10.7545501,106.68194229999999",10.7545501,106.68194229999999,,Đường Trần Bình Trọng,Phường 1,Quận 5,Hồ Chí Minh,True,Đường Trần Bình Trọng
ChIJEffk9cIvdTERHj50py1qjt4,Bách Hóa Xanh Xóm Chiếu,Siêu thị,1900 1908,https://www.bachhoaxanh.com/,"115 Xóm Chiếu, Phường 14, Quận 4, Thành phố Hồ Chí Minh 700000","Phường 14, Quận 4",115 Xóm Chiếu,Thành phố Hồ Chí Minh,700000.0,"Quận 4, Thành phố Hồ Chí Minh",VN,"10.7579336,106.71080429999999",10.7579336,106.71080429999999,111B,Đường Xóm Chiếu,Phường 14,Quận 4,Hồ Chí Minh,True,Đường Xóm Chiếu
ChIJ683X7dcpdTER9Ehm-IIaznE,Bách hoá XANH,Siêu thị,1900 1908,https://www.bachhoaxanh.com/,"244 Huỳnh Văn Bánh, Phường 11, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 11, Phú Nhuận",244 Huỳnh Văn Bánh,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.7918009,106.6752949",10.7918009,106.6752949,244A,Đường Huỳnh Văn Bánh,Phường 11,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Huỳnh Văn Bánh
ChIJSXrzU3opdTER-WOyCTR0tUE,Bách Hóa Basao grocery,Cửa hàng,0982 896 297,https://www.facebook.com/basao_grocery/,"76A Phạm Viết Chánh, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh 717000","Phường 19, Bình Thạnh",76A Phạm Viết Chánh,Thành phố Hồ Chí Minh,717000.0,"Bình Thạnh, Thành phố Hồ Chí Minh",VN,"10.7901256,106.7111463",10.7901256,106.7111463,,Đường Phạm Viết Chánh,Phường 19,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Phạm Viết Chánh
ChIJvfrST_kpdTERA7qSL3_CfVU,Bách Hoá Đakao,Cửa hàng tạp phẩm,0902 882 601,https://bach-hoa-dakao.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,"17 Đ. Trương Hán Siêu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1",17 Đ. Trương Hán Siêu,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.791708999999999,106.6966923",10.791708999999999,106.6966923,17,Đường Trương Hán Siêu,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Trương Hán Siêu
ChIJ8X5f0lQvdTER0d4nJ5ScXAM,Bách hóa Kphucsinh,Cửa hàng bách hóa,0948 606 103,http://kphucsinh.vn/,"240 Đ. Võ Văn Kiệt, Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000","Phường Cầu Ông Lãnh, Quận 1",240 Đ. Võ Văn Kiệt,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.763198,106.697154",10.763198,106.697154,170,Đường Võ Văn Kiệt,Phường Cầu Ông Lãnh,Quận 1,Hồ Chí Minh,True,Đường Võ Văn Kiệt
ChIJY4JWDUovdTERUdWm5kE7jkQ,Bách hóa Sài Gòn,Dịch vụ thương mại điện tử,,http://bachhoasaigon.vn/,"17/3 Đ. Nguyễn Thị Minh Khai, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","Bến Nghé, Quận 1",17/3 Đ. Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7851708,106.7003967",10.7851708,106.7003967,1,Hẻm 17 Nguyễn Thị Minh Khai,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thị Minh Khai
